"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"1"	"Gasteruption"	"sp."	"Latreille, 1796"	"http://dyntaxa.se/taxon/info/1013999"	NA	"Dyntaxa"	"Gasteruption sp."
"2"	"Gasteruption"	"assectator"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/251346"	NA	"Dyntaxa"	"Gasteruption assectator"
"3"	"Gasteruption"	"erythrostomum"	"(Dahlbom, 1831)"	"http://dyntaxa.se/taxon/info/251347"	NA	"Dyntaxa"	"Gasteruption erythrostomum"
"4"	"Gasteruption"	"hastator"	"(Fabricius, 1804)"	"http://dyntaxa.se/taxon/info/251348"	NA	"Dyntaxa"	"Gasteruption hastator"
"5"	"Gasteruption"	"jaculator"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/251349"	NA	"Dyntaxa"	"Gasteruption jaculator"
"6"	"Gasteruption"	"minutum"	"(Tournier, 1877)"	"http://dyntaxa.se/taxon/info/251350"	NA	"Dyntaxa"	"Gasteruption minutum"
"7"	"Gasteruption"	"pedemontanum"	"(Tournier, 1877)"	"http://dyntaxa.se/taxon/info/251351"	NA	"Dyntaxa"	"Gasteruption pedemontanum"
"8"	"Gasteruption"	"subtile"	"(Thomson, 1883)"	"http://dyntaxa.se/taxon/info/251352"	NA	"Dyntaxa"	"Gasteruption subtile"
"9"	"Gasteruption"	"undulatum"	"(Abeille de Perrin, 1879)"	"http://dyntaxa.se/taxon/info/251353"	NA	"Dyntaxa"	"Gasteruption undulatum"
"10"	"Gasteruption"	"caucasicum"	"(Guérin-Méneville, 1844)"	"http://data.artsdatabanken.no/Taxon/104861"	"senior synonym of G. Pedemontanum; Dyntaxa not yet updated (MF)"	"Arter på Nett"	"Gasteruption caucasicum"
